    n, quick_cmp, quick_swaps, quick_time, heapsort_cmp, heapsort_swaps, heapsort_time
  197,      2027,           0,        926,         2381,              0,          1051
  198,      2204,           0,       1003,         2396,              0,          1052
  199,      2174,           0,        988,         2411,              0,          1061
  200,      2027,           0,        931,         2424,              0,          1067
  201,      2287,           0,       1031,         2449,              0,          1095
  202,      2137,           0,        979,         2456,              0,          1083
  203,      2147,           0,        979,         2470,              0,          1084
  204,      2146,           0,        985,         2490,              0,          1093
  205,      2133,           0,        982,         2513,              0,          1106
  206,      2297,           0,       1039,         2527,              0,          1111
  207,      2170,           0,       1000,         2551,              0,          1121
  208,      2208,           0,       1011,         2553,              0,          1127
  209,      2334,           0,       1058,         2571,              0,          1130
  210,      2571,           0,       1144,         2594,              0,          1137
  211,      2363,           0,       1080,         2609,              0,          1148
  212,      2243,           0,       1022,         2628,              0,          1156
  213,      2594,           0,       1155,         2634,              0,          1174
  214,      2183,           0,       1016,         2660,              0,          1169
  215,      2142,           0,        994,         2682,              0,          1177
  216,      2232,           0,       1030,         2690,              0,          1185
  217,      2247,           0,       1034,         2699,              0,          1182
  218,      2431,           0,       1102,         2705,              0,          1190
  219,      2454,           0,       1113,         2719,              0,          1194
  220,      2431,           0,       1102,         2743,              0,          1204
  221,      2395,           0,       1087,         2758,              0,          1210
  222,      2294,           0,       1055,         2779,              0,          1222
  223,      2631,           0,       1176,         2787,              0,          1224
  224,      2627,           0,       1176,         2801,              0,          1237
  225,      2394,           0,       1096,         2802,              0,          1230
  226,      2591,           0,       1169,         2830,              0,          1241
  227,      2634,           0,       1198,         2840,              0,          1295
  228,      2470,           0,       1141,         2857,              0,          1260
  229,      2882,           0,       1288,         2881,              0,          1270
  230,      3002,           0,       1322,         2899,              0,          1275
  231,      2419,           0,       1108,         2926,              0,          1286
  232,      2450,           0,       1124,         2928,              0,          1291
  233,      2850,           0,       1264,         2927,              0,          1282
  234,      2623,           0,       1184,         2968,              0,          1307
  235,      2524,           0,       1161,         2967,              0,          1302
  236,      2570,           0,       1170,         2994,              0,          1314
  237,      2568,           0,       1168,         2998,              0,          1317
  238,      2695,           0,       1207,         3011,              0,          1324
  239,      2888,           0,       1299,         3038,              0,          1334
  240,      3072,           0,       1364,         3037,              0,          1338
  241,      2715,           0,       1224,         3076,              0,          1354
  242,      2632,           0,       1203,         3079,              0,          1360
  243,      2792,           0,       1256,         3095,              0,          1367
  244,      2771,           0,       1250,         3110,              0,          1384
  245,      2810,           0,       1277,         3123,              0,          1371
  246,      2796,           0,       1267,         3138,              0,          1381
  247,      2832,           0,       1276,         3151,              0,          1388
  248,      2769,           0,       1258,         3166,              0,          1393
  249,      2802,           0,       1271,         3186,              0,          1415
  250,      2769,           0,       1270,         3205,              0,          1410
  251,      2801,           0,       1271,         3227,              0,          1417
  252,      2891,           0,       1307,         3236,              0,          1424
  253,      2878,           0,       1307,         3250,              0,          1427
  254,      2862,           0,       1300,         3257,              0,          1453
  255,      2991,           0,       1348,         3282,              0,          1442
  256,      3017,           0,       1364,         3300,              0,          1456
  257,      2721,           0,       1254,         3320,              0,          1457
  258,      2751,           0,       1257,         3334,              0,          1467
  259,      2912,           0,       1322,         3360,              0,          1477
  260,      2908,           0,       1324,         3365,              0,          1495
  261,      3122,           0,       1398,         3385,              0,          1486
  262,      3338,           0,       1473,         3400,              0,          1493
  263,      2809,           0,       1300,         3405,              0,          1498
  264,      2834,           0,       1312,         3427,              0,          1507
  265,      2918,           0,       1334,         3445,              0,          1518
  266,      2901,           0,       1328,         3468,              0,          1530
  267,      3004,           0,       1368,         3475,              0,          1530
  268,      3326,           0,       1476,         3484,              0,          1533
  269,      3222,           0,       1449,         3503,              0,          1542
  270,      3360,           0,       1506,         3518,              0,          1551
  271,      3033,           0,       1383,         3546,              0,          1568
  272,      3094,           0,       1434,         3558,              0,          1600
  273,      3086,           0,       1427,         3579,              0,          1604
  274,      3116,           0,       1435,         3601,              0,          1594
  275,      3070,           0,       1407,         3607,              0,          1590
  276,      2960,           0,       1378,         3617,              0,          1600
  277,      3475,           0,       1547,         3645,              0,          1621
  278,      3353,           0,       1513,         3641,              0,          1609
  279,      3021,           0,       1394,         3672,              0,          1615
  280,      3070,           0,       1406,         3686,              0,          1634
  281,      3309,           0,       1492,         3704,              0,          1645
  282,      3371,           0,       1536,         3716,              0,          1638
  283,      3440,           0,       1546,         3731,              0,          1656
  284,      3464,           0,       1564,         3753,              0,          1671
  285,      3364,           0,       1524,         3771,              0,          1660
  286,      3354,           0,       1513,         3778,              0,          1671
  287,      3190,           0,       1461,         3805,              0,          1675
  288,      3274,           0,       1497,         3818,              0,          1703
  289,      3333,           0,       1517,         3844,              0,          1689
  290,      3417,           0,       1549,         3840,              0,          1690
  291,      3362,           0,       1524,         3878,              0,          1706
  292,      3390,           0,       1538,         3878,              0,          1715
  293,      3396,           0,       1538,         3915,              0,          1724
  294,      3460,           0,       1558,         3906,              0,          1726
  295,      3352,           0,       1530,         3935,              0,          1735
  296,      3357,           0,       1531,         3950,              0,          1744
  297,      3505,           0,       1587,         3972,              0,          1745
  298,      3439,           0,       1565,         3982,              0,          1757
  299,      3811,           0,       1703,         4001,              0,          1764
  300,      3640,           0,       1634,         4005,              0,          1771
  301,      3593,           0,       1615,         4033,              0,          1776
  302,      3805,           0,       1691,         4064,              0,          1799
  303,      3502,           0,       1602,         4074,              0,          1798
  304,      3597,           0,       1629,         4078,              0,          1802
  305,      3668,           0,       1661,         4097,              0,          1810
  306,      3631,           0,       1635,         4120,              0,          1818
  307,      3698,           0,       1673,         4117,              0,          1825
  308,      3621,           0,       1637,         4152,              0,          1838
  309,      3706,           0,       1677,         4170,              0,          1845
  310,      3646,           0,       1648,         4192,              0,          1856
  311,      3429,           0,       1576,         4207,              0,          1863
  312,      3708,           0,       1683,         4223,              0,          1874
  313,      3636,           0,       1658,         4213,              0,          1865
  314,      3641,           0,       1655,         4234,              0,          1876
  315,      3647,           0,       1663,         4265,              0,          1888
  316,      3635,           0,       1665,         4279,              0,          1889
  317,      3999,           0,       1801,         4303,              0,          1903
  318,      4058,           0,       1820,         4325,              0,          1927
  319,      3562,           0,       1641,         4325,              0,          1907
  320,      3690,           0,       1689,         4348,              0,          1924
  321,      3967,           0,       1811,         4350,              0,          1921
  322,      3696,           0,       1690,         4377,              0,          1937
  323,      3854,           0,       1751,         4386,              0,          1985
  324,      4359,           0,       1975,         4405,              0,          1982
  325,      4591,           0,       2059,         4435,              0,          1996
  326,      4125,           0,       1915,         4453,              0,          1969
  327,      3690,           0,       1663,         4465,              0,          1936
  328,      3728,           0,       1672,         4469,              0,          1993
  329,      3812,           0,       1767,         4488,              0,          2027
  330,      3790,           0,       1833,         4505,              0,          1961
  331,      4508,           0,       1950,         4526,              0,          1960
  332,      4106,           0,       1813,         4539,              0,          2035
  333,      3977,           0,       1780,         4570,              0,          1995
  334,      4131,           0,       1829,         4588,              0,          1987
  335,      3851,           0,       1720,         4605,              0,          1995
  336,      3736,           0,       1690,         4603,              0,          2044
  337,      4232,           0,       1966,         4613,              0,          2003
  338,      4351,           0,       1905,         4625,              0,          2004
  339,      4055,           0,       1801,         4650,              0,          2012
  340,      4135,           0,       1870,         4668,              0,          2060
  341,      3963,           0,       1789,         4686,              0,          2062
  342,      3970,           0,       1787,         4696,              0,          2043
  343,      4680,           0,       2043,         4718,              0,          2046
  344,      4245,           0,       1892,         4737,              0,          2074
  345,      4312,           0,       1934,         4751,              0,          2063
  346,      3958,           0,       1777,         4775,              0,          2069
  347,      4351,           0,       1926,         4784,              0,          2075
  348,      4340,           0,       1932,         4799,              0,          2115
  349,      4189,           0,       1927,         4828,              0,          2106
  350,      4195,           0,       1879,         4815,              0,          2086
  351,      4248,           0,       1928,         4848,              0,          2101
  352,      4242,           0,       1893,         4855,              0,          2167
  353,      4190,           0,       1914,         4861,              0,          2115
  354,      4357,           0,       1939,         4897,              0,          2128
  355,      4211,           0,       1891,         4926,              0,          2146
  356,      4185,           0,       1883,         4930,              0,          2226
  357,      4753,           0,       2092,         4944,              0,          2147
  358,      4682,           0,       2066,         4972,              0,          2165
  359,      4296,           0,       1913,         4987,              0,          2163
  360,      4274,           0,       1931,         5010,              0,          2315
  361,      4233,           0,       1911,         5027,              0,          2192
  362,      4371,           0,       1962,         5027,              0,          2185
  363,      4235,           0,       1904,         5042,              0,          2184
  364,      4468,           0,       2047,         5065,              0,          2230
  365,      4281,           0,       1952,         5077,              0,          2212
  366,      4313,           0,       1940,         5111,              0,          2225
  367,      4269,           0,       1931,         5131,              0,          2236
  368,      4297,           0,       1965,         5146,              0,          2243
  369,      4586,           0,       2036,         5150,              0,          2259
  370,      4834,           0,       2164,         5157,              0,          2284
  371,      4788,           0,       2144,         5192,              0,          2305
  372,      4594,           0,       2084,         5212,              0,          2310
  373,      4316,           0,       1982,         5206,              0,          2308
  374,      4510,           0,       2058,         5228,              0,          2318
  375,      4473,           0,       2044,         5251,              0,          2382
  376,      4667,           0,       2108,         5262,              0,          2334
  377,      4842,           0,       2169,         5287,              0,          2341
  378,      4874,           0,       2179,         5303,              0,          2347
  379,      4544,           0,       2079,         5310,              0,          2348
  380,      4553,           0,       2097,         5322,              0,          2352
  381,      5079,           0,       2264,         5345,              0,          2362
  382,      4907,           0,       2208,         5344,              0,          2358
  383,      4664,           0,       2133,         5387,              0,          2387
  384,      4632,           0,       2100,         5381,              0,          2382
  385,      4821,           0,       2174,         5433,              0,          2405
  386,      4666,           0,       2129,         5440,              0,          2426
  387,      5725,           0,       2520,         5432,              0,          2398
  388,      5510,           0,       2421,         5458,              0,          2412
  389,      4487,           0,       2065,         5494,              0,          2431
  390,      4597,           0,       2100,         5509,              0,          2436
  391,      5860,           0,       2574,         5517,              0,          2443
  392,      5265,           0,       2333,         5556,              0,          2457
  393,      5412,           0,       2402,         5567,              0,          2494
  394,      5243,           0,       2343,         5562,              0,          2464
  395,      4846,           0,       2222,         5584,              0,          2475
  396,      4679,           0,       2137,         5599,              0,          2475
  397,      5255,           0,       2365,         5632,              0,          2491
  398,      5282,           0,       2358,         5622,              0,          2494
  399,      4643,           0,       2149,         5637,              0,          2523
  400,      4779,           0,       2255,         5684,              0,          2624
  401,      5024,           0,       2336,         5699,              0,          2527
