   n, quick_cmp, quick_swaps, quick_time, heapsort_cmp, heapsort_swaps, heapsort_time, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
 101,       956,          61,        439,         1049,            490,           530,          2740,            2642,           2298,       5050,         2642,        3091
 102,       971,          76,        452,         1057,            498,           535,          2808,            2709,           2349,       5151,         2709,        3147
 103,       952,          68,        443,         1075,            502,           543,          2812,            2712,           2354,       5253,         2712,        3194
 104,       981,          74,        460,         1084,            512,           551,          2915,            2815,           2437,       5356,         2815,        3283
 105,      1099,          72,        498,         1092,            517,           572,          2928,            2827,           2459,       5460,         2827,        3329
 106,       967,          60,        442,         1107,            521,           562,          3010,            2908,           2519,       5565,         2908,        3402
 107,      1017,          68,        470,         1121,            528,           574,          3015,            2912,           2534,       5671,         2912,        3455
 108,      1028,          70,        476,         1133,            539,           576,          3020,            2916,           2536,       5778,         2916,        3478
 109,       993,          75,        471,         1144,            538,           580,          3115,            3010,           2607,       5886,         3010,        3584
 110,       936,          72,        447,         1164,            550,           592,          3127,            3021,           2619,       5995,         3021,        3616
 111,       963,          68,        475,         1171,            542,           593,          3217,            3110,           2697,       6105,         3110,        3693
 112,       964,          72,        454,         1192,            567,           607,          3246,            3138,           2726,       6216,         3138,        3783
 113,       964,          67,        451,         1192,            559,           604,          3348,            3239,           2808,       6328,         3239,        3839
 114,       981,          73,        460,         1215,            578,           619,          3409,            3299,           2858,       6441,         3299,        3907
 115,      1038,          73,        483,         1227,            576,           621,          3513,            3402,           2955,       6555,         3402,        3996
 116,      1039,          73,        484,         1254,            593,           638,          3566,            3454,           2993,       6670,         3454,        4061
 117,      1038,          77,        489,         1256,            586,           635,          3671,            3558,           3087,       6786,         3558,        4149
 118,      1064,          76,        499,         1277,            605,           656,          3686,            3572,           3098,       6903,         3572,        4194
 119,      1104,          82,        516,         1281,            607,           650,          3738,            3623,           3172,       7021,         3623,        4268
 120,      1086,          78,        524,         1311,            614,           658,          3833,            3717,           3213,       7140,         3717,        4363
 121,      1139,          76,        523,         1316,            618,           666,          3883,            3766,           3253,       7260,         3766,        4431
 122,      1194,          76,        544,         1329,            623,           671,          3908,            3790,           3298,       7381,         3790,        4474
 123,      1077,          74,        506,         1342,            628,           676,          3915,            3796,           3284,       7503,         3796,        4525
 124,      1112,          82,        521,         1346,            631,           679,          4000,            3880,           3362,       7626,         3880,        4605
 125,      1135,          82,        534,         1362,            643,           696,          4078,            3957,           3422,       7750,         3957,        4689
 126,      1349,          88,        611,         1367,            643,           695,          4130,            4008,           3492,       7875,         4008,        4758
 127,      1269,          83,        580,         1392,            654,           709,          4193,            4070,           3535,       8001,         4070,        4835
 128,      1286,          77,        585,         1404,            662,           709,          4307,            4183,           3618,       8128,         4183,        4919
 129,      1197,          86,        556,         1401,            650,           706,          4385,            4260,           3686,       8256,         4260,        5014
 130,      1185,          84,        560,         1424,            665,           720,          4498,            4372,           3777,       8385,         4372,        5102
 131,      1220,          81,        567,         1428,            666,           724,          4617,            4490,           3905,       8515,         4490,        5215
 132,      1283,          84,        589,         1440,            668,           729,          4729,            4601,           3983,       8646,         4601,        5308
 133,      1269,          89,        591,         1463,            677,           734,          4836,            4707,           4058,       8778,         4707,        5411
 134,      1219,          85,        570,         1465,            680,           738,          4861,            4731,           4081,       8911,         4731,        5472
 135,      1247,          82,        577,         1494,            691,           748,          4942,            4811,           4160,       9045,         4811,        5554
 136,      1211,          83,        567,         1503,            699,           754,          5034,            4902,           4235,       9180,         4902,        5640
 137,      1474,          84,        658,         1514,            702,           763,          5153,            5020,           4350,       9316,         5020,        5738
 138,      1361,          84,        621,         1517,            704,           767,          5229,            5095,           4414,       9453,         5095,        5835
 139,      1320,          99,        619,         1539,            723,           791,          5242,            5107,           4457,       9591,         5107,        5888
 140,      1349,          95,        632,         1555,            719,           781,          5270,            5134,           4426,       9730,         5134,        5948
 141,      1395,          90,        640,         1563,            727,           786,          5352,            5215,           4506,       9870,         5215,        6054
 142,      1613,          97,        723,         1586,            741,           800,          5368,            5230,           4521,      10011,         5230,        6125
 143,      1346,          88,        629,         1597,            746,           807,          5493,            5354,           4620,      10153,         5354,        6220
 144,      1457,          94,        670,         1607,            748,           809,          5603,            5463,           4716,      10296,         5463,        6397
